등종류,행정동,소재지 주소,상세위치,위도,경도,데이터기준일
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4144,,33.21935272,126.2584381,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리435-2,,33.21901703,126.2581024,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1-2,,33.21437073,126.2938766,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1-1,,33.21412659,126.2936707,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1-7,,33.21380615,126.2933197,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리71-1,,33.21343994,126.2929382,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1-7,,33.21321106,126.2928925,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1-7,,33.21292114,126.2926865,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리71-5,,33.21250916,126.2924423,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리73,,33.21212006,126.2922821,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리4165-22,,33.2118187,126.2921753,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리77-4,,33.21149826,126.2920303,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리177-3,,33.20453262,126.2884445,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리170-4,,33.20429611,126.2876129,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리300-3,,33.20402908,126.2868195,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리295-1,,33.20360184,126.2860641,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리284-1,,33.20320892,126.2853394,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리284,,33.20280838,126.2846146,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리277-1,,33.20237732,126.2839279,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리276-1,,33.20196915,126.2832108,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리275-1,,33.20158386,126.282486,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1647-1,,33.20125961,126.2817688,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1647-1,,33.20111084,126.2809296,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1649-1,,33.20101547,126.2800598,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1654-1,,33.20090866,126.2792053,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1656-2,,33.20079803,126.2783737,2025-07-25
